Focal ID,dominant_hand,tool_user,sex
Ali,Right ,YES,Male
Aura,Right ,YES,Female
Bat,Right ,YES,Male
Belanda,Right,YES,Male
Betina,Left,YES,Female
Boss,Right,Yes,Male
Cacao,Right,YES,Female
Cliff,Right,YES,Male
Dandi,Left,YES,Female
Flame,Left ,YES,Female
Granny,Left,YES,Female
Grumpy,Right,YES,Female
Harley,Left ,YES,Female
Iyla,Right,Yes,Female
Jaan,Right,YES,Female
Jim_lim,Left ,YES,Female
Kal,Right,YES,Male
Kaya,Left ,YES,Female
Lip,Left,YES,Female
Mamosa,Right ,YES,Male
Manee,Right,YES,Female
Naina,Left,YES,Female
Oreo,Left,YES,Female
Pat,Right ,YES,Male
Pinky,Right ,YES,Female
Quindoline,Right ,YES,Female
Rambo,Left ,YES,Male
Robin,Right ,YES,Female
Santa,Left ,YES,Female
Saw,Left,YES,Male
Taipan,Right ,YES,Female
Ted,Right ,YES,Male
Tin_tin,Right ,YES,Male
Tutu,Right,YES,Male
Vula,Left,YES,Female
Whitney,Right,YES,Female
Yaiko,Right,YES,Female
Phra_piksu,Right,YES,Male
